

loss 113.07120513916016:  85% 148611/174001 [15:27:27<2:38:12,  2.67it/s]
loss 113.07120513916016:  85% 148612/174001 [15:27:27<2:38:02,  2.68it/s]
loss 70.28346252441406:  85% 148612/174001 [15:27:27<2:38:02,  2.68it/s] 
loss 70.28346252441406:  85% 148613/174001 [15:27:27<2:37:44,  2.68it/s]
loss 98.75083923339844:  85% 148613/174001 [15:27:27<2:37:44,  2.68it/s]
loss 98.75083923339844:  85% 148614/174001 [15:27:27<2:37:45,  2.68it/s]
loss 73.21221160888672:  85% 148614/174001 [15:27:28<2:37:45,  2.68it/s]
loss 73.21221160888672:  85% 148615/174001 [15:27:28<2:38:23,  2.67it/s]
loss 469.19525146484375:  85% 148615/174001 [15:27:28<2:38:23,  2.67it/s]
loss 469.19525146484375:  85% 148616/174001 [15:27:28<2:38:05,  2.68it/s]
loss 79.19914245605469:  85% 148616/174001 [15:27:29<2:38:05,  2.68it/s] 
loss 79.19914245605469:  85% 148617/174001 [15:27:29<2:37:38,  2.68it/s]
loss 52.328712463378906:  85% 148617/174001 [15:27:29<2:37:38,  2.68it/s]
loss 52.328712463378906:  85% 148618/174001 [15:27:29<2:37:48,  2.68it/s]
loss 111.0851821899414:  85% 148618/174001 [15:27:29<2:37:48,  2.68it/s] 
loss 111.0851821899414:  85% 148619/174001 [15:27:29<2:37:41,  2.68it/s]
loss 53.6783332824707:  85% 148619/174001 [15:27:30<2:37:41,  2.68it/s] 
loss 53.6783332824707:  85% 148620/174001 [15:27:30<2:37:54,  2.68it/s]
loss 58.46465301513672:  85% 148620/174001 [15:27:30<2:37:54,  2.68it/s]
loss 58.46465301513672:  85% 148621/174001 [15:27:30<2:37:49,  2.68it/s]
loss 96.00466918945312:  85% 148621/174001 [15:27:30<2:37:49,  2.68it/s]
loss 96.00466918945312:  85% 148622/174001 [15:27:30<2:37:58,  2.68it/s]
loss 121.12368774414062:  85% 148622/174001 [15:27:31<2:37:58,  2.68it/s]
loss 121.12368774414062:  85% 148623/174001 [15:27:31<2:38:00,  2.68it/s]
loss 51.9696044921875:  85% 148623/174001 [15:27:31<2:38:00,  2.68it/s]  
loss 51.9696044921875:  85% 148624/174001 [15:27:31<2:37:41,  2.68it/s]
loss 81.1673583984375:  85% 148624/174001 [15:27:32<2:37:41,  2.68it/s]
loss 81.1673583984375:  85% 148625/174001 [15:27:32<2:37:30,  2.69it/s]
loss 80.0444564819336:  85% 148625/174001 [15:27:32<2:37:30,  2.69it/s]
loss 80.0444564819336:  85% 148626/174001 [15:27:32<2:38:20,  2.67it/s]
loss 102.46895599365234:  85% 148626/174001 [15:27:32<2:38:20,  2.67it/s]
loss 102.46895599365234:  85% 148627/174001 [15:27:32<2:38:03,  2.68it/s]
loss 206.8355255126953:  85% 148627/174001 [15:27:33<2:38:03,  2.68it/s] 
loss 206.8355255126953:  85% 148628/174001 [15:27:33<2:37:35,  2.68it/s]
loss 86.48511505126953:  85% 148628/174001 [15:27:33<2:37:35,  2.68it/s]
loss 86.48511505126953:  85% 148629/174001 [15:27:33<2:37:26,  2.69it/s]
loss 65.94127655029297:  85% 148629/174001 [15:27:33<2:37:26,  2.69it/s]
loss 65.94127655029297:  85% 148630/174001 [15:27:33<2:37:36,  2.68it/s]
loss 76.09669494628906:  85% 148630/174001 [15:27:34<2:37:36,  2.68it/s]
loss 76.09669494628906:  85% 148631/174001 [15:27:34<2:38:15,  2.67it/s]
loss 85.99774932861328:  85% 148631/174001 [15:27:34<2:38:15,  2.67it/s]
loss 85.99774932861328:  85% 148632/174001 [15:27:34<2:37:43,  2.68it/s]
loss 100.42758178710938:  85% 148632/174001 [15:27:35<2:37:43,  2.68it/s]
loss 100.42758178710938:  85% 148633/174001 [15:27:35<2:37:48,  2.68it/s]
loss 101.64403533935547:  85% 148633/174001 [15:27:35<2:37:48,  2.68it/s]
